# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
27625.5000 M932 528714 1 71.5000 c58 c55 298 N c58->c55
27825.1000 M891 552248 4 1489.1000 t124 c43 275 N t124->p11->w81->p13->c43
27931.5000 M924 514597 16 629.5000 p17 p8 289 N p17->w89->c79->w102->c70->p17->w109->p17->c50->c47->w95->c44->c40->w85->w91->c55->p8
27957.8000 M755 682359 19 5622.8000 p15 w99 206 N p15->p12->w98->p4->w98->p12->c69->w86->p10->c72->w103->p13->c73->p17->p13->c45->c76->w115->t124->w99
28102.5000 M861 667736 1 2664.5000 t123 c50 255 N t123->c50
28234.8000 M854 672794 12 3000.8000 t122 c79 249 N t122->c55->c40->p27->c60->c58->w86->w108->p12->w108->t123->t121->c79
28254.1000 M955 803588 1 24.1000 w112 c42 299 N w112->c42
28346.7000 M956 720954 1 83.7000 t120 c41 298 N t120->c41
28420.9000 M953 993480 4 247.9000 c51 c54 295 N c51->p24->w105->c42->c54
28569.6000 M957 855762 6 275.6000 p29 p30 295 N p29->p35->c54->w102->c66->c64->p30
28593.9000 M947 551826 15 596.9000 p2 t123 290 N p2->c65->p2->p34->c43->p13->c55->c43->p11->c43->c65->p11->p2->w88->c58->t123
28630.4000 M961 584408 7 224.4000 c41 t123 296 N c41->c53->c41->w108->c41->w105->c41->t123
28673.1000 M968 559563 1 74.1000 c54 c57 298 N c54->c57
28703.2000 M964 634946 4 218.2000 p38 w105 296 N p38->t124->c78->c73->w105
28703.3000 M930 656728 1 1211.3000 t120 p6 279 N t120->p6
28761.9000 M962 625362 5 329.9000 p11 w92 294 N p11->p2->w88->c58->t123->w92
28762.6000 M903 847314 16 2070.6000 c66 c54 265 N c66->c43->w102->c62->c73->w97->c60->w93->c59->p17->w109->c70->w86->c47->t121->t122->c54
28885.2000 M978 701048 1 5.2000 p6 w118 299 N p6->w118
28893.9000 M954 772943 5 691.9000 c41 c51 288 N c41->w86->c75->c60->w113->c51
28917.9000 M960 510390 9 538.9000 c41 w113 291 N c41->p24->c78->w105->p28->c43->w119->c43->p21->w113
29100.2000 M905 782526 5 2346.2000 t120 p25 260 N t120->w114->w105->p6->t121->p25
29195.0000 M972 806716 7 473.0000 t122 w86 292 N t122->c54->p19->w98->c54->w101->w92->w86
29349.7000 M946 916434 9 1383.7000 w112 w97 276 N w112->w105->w99->c49->c41->c78->w105->p28->t124->w97
29369.6000 M926 768717 29 2003.6000 p25 c59 266 N p25->w90->c56->c74->p31->p32->w84->w116->t121->w87->p3->w118->c64->c51->c44->p18->p17->c40->p8->c50->p17->p31->c58->p3->w108->w85->c58->p24->p17->c59
29522.8000 M969 681032 5 893.8000 w82 p6 285 N w82->w113->p21->w113->t125->p6
29592.6000 M989 694881 5 386.6000 c60 c65 293 N c60->w106->w89->c41->c70->c65
29939.7000 M1009 643124 7 136.7000 w84 c46 297 N w84->c43->w97->p39->p13->p9->w84->c46
29975.7000 M939 901810 14 2225.7000 c60 p39 262 N c60->p0->t123->p5->c55->t122->p34->w96->w86->p34->w96->c72->c75->w116->p39
29980.2000 M936 907628 7 2313.2000 p19 c55 261 N p19->p15->w103->c47->w80->t120->t125->c55
30280.0000 M925 560500 3 2948.0000 t122 w83 250 N t122->w88->t124->w83
